timestamp,power_w,temp_c,shortwave_rad,diffuse_rad,direct_rad,cloud_cover,is_day
2025-11-29 00:00:00,0.0,14.1,0.0,0.0,0.0,92.0,0.0
2025-11-29 00:15:00,0.0,14.0,0.0,0.0,0.0,87.0,0.0
2025-11-29 00:30:00,0.0,13.9,0.0,0.0,0.0,82.0,0.0
2025-11-29 00:45:00,0.0,13.8,0.0,0.0,0.0,76.0,0.0
2025-11-29 01:00:00,0.0,13.7,0.0,0.0,0.0,71.0,0.0
2025-11-29 01:15:00,0.0,13.7,0.0,0.0,0.0,75.0,0.0
2025-11-29 01:30:00,0.0,13.7,0.0,0.0,0.0,80.0,0.0
2025-11-29 01:45:00,0.0,13.8,0.0,0.0,0.0,84.0,0.0
2025-11-29 02:00:00,0.0,13.8,0.0,0.0,0.0,88.0,0.0
2025-11-29 02:15:00,0.0,13.8,0.0,0.0,0.0,90.0,0.0
2025-11-29 02:30:00,0.0,13.8,0.0,0.0,0.0,93.0,0.0
2025-11-29 02:45:00,0.0,13.7,0.0,0.0,0.0,95.0,0.0
2025-11-29 03:00:00,0.0,13.8,0.0,0.0,0.0,97.0,0.0
2025-11-29 03:15:00,0.0,13.9,0.0,0.0,0.0,98.0,0.0
2025-11-29 03:30:00,0.0,14.0,0.0,0.0,0.0,99.0,0.0
2025-11-29 03:45:00,0.0,14.2,0.0,0.0,0.0,99.0,0.0
2025-11-29 04:00:00,0.0,14.3,0.0,0.0,0.0,100.0,0.0
2025-11-29 04:15:00,0.0,14.3,0.0,0.0,0.0,95.0,0.0
2025-11-29 04:30:00,0.0,14.2,0.0,0.0,0.0,90.0,0.0
2025-11-29 04:45:00,0.0,14.1,0.0,0.0,0.0,85.0,0.0
2025-11-29 05:00:00,0.0,14.1,0.0,0.0,0.0,80.0,0.0
2025-11-29 05:15:00,0.0,13.9,0.0,0.0,0.0,85.0,0.0
2025-11-29 05:30:00,0.0,13.9,0.0,0.0,0.0,89.0,0.0
2025-11-29 05:45:00,0.0,13.8,0.0,0.0,0.0,94.0,0.0
2025-11-29 06:00:00,0.0,13.7,0.0,0.0,0.0,98.0,0.0
2025-11-29 06:15:00,0.0,13.5,0.0,0.0,0.0,99.0,0.0
2025-11-29 06:30:00,0.0,13.2,0.0,0.0,0.0,99.0,0.0
2025-11-29 06:45:00,0.0,13.1,1.0,1.0,0.0,100.0,1.0
2025-11-29 07:00:00,20.0,13.1,13.0,12.0,14.4,100.0,1.0
2025-11-29 07:15:00,132.0,13.3,36.0,32.0,43.2,99.0,1.0
2025-11-29 07:30:00,256.0,13.7,68.0,57.0,81.8,97.0,1.0
2025-11-29 07:45:00,460.0,14.2,102.0,81.0,117.9,96.0,1.0
2025-11-29 08:00:00,540.0,14.8,137.0,101.0,163.7,94.0,1.0
2025-11-29 08:15:00,1116.0,15.4,173.0,117.0,215.5,95.0,1.0
2025-11-29 08:30:00,1776.0,16.1,211.0,130.0,271.9,95.0,1.0
2025-11-29 08:45:00,1572.0,16.9,250.0,139.0,332.6,96.0,1.0
