latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.1875,33.5,87.0,7200,Europe/Bucharest,GMT+2

time,temperature_2m (°C),shortwave_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),cloud_cover (%),is_day ()
2025-11-29T00:00,14.1,0.0,0.0,0.0,92,0
2025-11-29T00:15,14.0,0.0,0.0,0.0,87,0
2025-11-29T00:30,13.9,0.0,0.0,0.0,82,0
2025-11-29T00:45,13.8,0.0,0.0,0.0,76,0
2025-11-29T01:00,13.7,0.0,0.0,0.0,71,0
2025-11-29T01:15,13.7,0.0,0.0,0.0,75,0
2025-11-29T01:30,13.7,0.0,0.0,0.0,80,0
2025-11-29T01:45,13.8,0.0,0.0,0.0,84,0
2025-11-29T02:00,13.8,0.0,0.0,0.0,88,0
2025-11-29T02:15,13.8,0.0,0.0,0.0,90,0
2025-11-29T02:30,13.8,0.0,0.0,0.0,93,0
2025-11-29T02:45,13.7,0.0,0.0,0.0,95,0
2025-11-29T03:00,13.8,0.0,0.0,0.0,97,0
2025-11-29T03:15,13.9,0.0,0.0,0.0,98,0
2025-11-29T03:30,14.0,0.0,0.0,0.0,99,0
2025-11-29T03:45,14.2,0.0,0.0,0.0,99,0
2025-11-29T04:00,14.3,0.0,0.0,0.0,100,0
2025-11-29T04:15,14.3,0.0,0.0,0.0,95,0
2025-11-29T04:30,14.2,0.0,0.0,0.0,90,0
2025-11-29T04:45,14.1,0.0,0.0,0.0,85,0
2025-11-29T05:00,14.1,0.0,0.0,0.0,80,0
2025-11-29T05:15,13.9,0.0,0.0,0.0,85,0
2025-11-29T05:30,13.9,0.0,0.0,0.0,89,0
2025-11-29T05:45,13.8,0.0,0.0,0.0,94,0
2025-11-29T06:00,13.7,0.0,0.0,0.0,98,0
2025-11-29T06:15,13.5,0.0,0.0,0.0,99,0
2025-11-29T06:30,13.2,0.0,0.0,0.0,99,0
2025-11-29T06:45,13.1,1.0,1.0,0.0,100,1
2025-11-29T07:00,13.1,13.0,12.0,14.4,100,1
